Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,5,2,3,0,0,4,0.4,10,11,2,2.2,5 games
2,Arizona Coyotes,5,2,1,0,2,6,0.6,12,11,2.4,2.2,5 games
3,Boston Bruins,2,0,1,0,1,1,0.25,4,8,2,4,2 games
4,Buffalo Sabres,2,1,0,0,1,3,0.75,8,6,4,3,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,4,4,2,2,2 games
6,Columbus Blue Jackets,2,2,0,0,0,4,1,6,3,3,1.5,2 games
7,Calgary Flames,5,2,3,0,0,4,0.4,13,13,2.6,2.6,5 games
8,Chicago Blackhawks,3,2,1,0,0,4,0.667,6,6,2,2,3 games
9,Colorado Avalanche,2,2,0,0,0,4,1,8,4,4,2,2 games
10,Dallas Stars,3,1,2,0,0,2,0.333,6,8,2,2.67,3 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,6,6,3,3,2 games
12,Edmonton Oilers,5,2,3,0,0,4,0.4,13,16,2.6,3.2,5 games
13,Florida Panthers,2,1,0,0,1,3,0.75,9,8,4.5,4,2 games
14,Los Angeles Kings,5,3,1,0,1,7,0.7,12,9,2.4,1.8,5 games
15,Minnesota Wild,3,0,3,0,0,0,0,7,11,2.33,3.67,3 games
16,Montreal Canadiens,2,2,0,0,0,4,1,6,3,3,1.5,2 games
17,New Jersey Devils,2,2,0,0,0,4,1,8,1,4,0.5,2 games
18,Nashville Predators,3,1,2,0,0,2,0.333,7,11,2.33,3.67,3 games
19,New York Islanders,2,2,0,0,0,4,1,6,4,3,2,2 games
20,New York Rangers,2,1,1,0,0,2,0.5,9,11,4.5,5.5,2 games
21,Ottawa Senators,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
22,Philadelphia Flyers,2,1,0,0,1,3,0.75,3,2,1.5,1,2 games
23,Pittsburgh Penguins,2,0,2,0,0,0,0,2,8,1,4,2 games
24,St. Louis Blues,3,0,3,0,0,0,0,3,11,1,3.67,3 games
25,Tampa Bay Lightning,2,2,0,0,0,4,1,5,2,2.5,1,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,6,3,3,1.5,2 games
27,Vancouver Canucks,5,5,0,0,0,10,1,17,5,3.4,1,5 games
28,Winnipeg Jets,3,3,0,0,0,6,1,12,7,4,2.33,3 games
29,Washington Capitals,2,2,0,0,0,4,1,7,2,3.5,1,2 games
