,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Patrick Kane,29,RW,75,25,46,71,-16,30,21,4,0,4,29,17,0,267,9.4,1527,20:22,5.6,1.2,6.8,12,16,4,1,80
2,Jonathan Toews,29,C,74,20,32,52,-1,47,18,2,0,2,22,10,0,211,9.5,1457,19:41,3.3,1.7,5,24,32,900,653,58
3,Nick Schmaltz,21,LW,71,21,28,49,-3,16,17,4,0,2,18,9,1,115,18.3,1291,18:11,3.6,1.4,5,34,13,288,424,40.4
4,Alex DeBrincat,20,RW,75,25,21,46,2,6,19,6,0,1,16,5,0,168,14.9,1108,14:47,4.2,1.4,5.6,23,38,23,26,46.9
5,Brandon Saad,25,LW,75,16,16,32,-8,14,15,1,0,7,16,0,0,215,7.4,1313,17:30,1.3,1.2,2.5,27,25,49,54,47.6
6,Duncan Keith,34,D,75,1,30,31,-23,26,0,1,0,0,22,8,0,176,0.6,1809,24:07:00,1,2.3,3.4,145,37,0,0,
7,Artem Anisimov,29,C,65,20,9,29,-12,16,8,11,1,6,8,1,0,118,16.9,1091,16:47,2,0.8,2.8,36,15,370,444,45.5
8,Ryan Hartman,23,LW,57,8,17,25,5,58,7,1,0,0,16,1,0,96,8.3,730,12:48,1.4,1,2.4,25,94,90,105,46.2
9,Vinnie Hinostroza,23,LW,43,7,17,24,4,10,6,1,0,1,13,4,0,77,9.1,596,13:51,1.5,0.9,2.4,16,25,38,48,44.2
10,Brent Seabrook,32,D,74,5,18,23,-2,36,3,2,0,0,13,5,0,124,4,1496,20:13,1,3.3,4.3,147,82,0,2,0
11,Patrick Sharp,36,LW,63,9,10,19,-13,14,9,0,0,1,7,3,0,126,7.1,808,12:49,0.6,0.4,1.1,21,44,49,40,55.1
12,Jan Rutta,27,D,51,6,13,19,-2,22,4,2,0,1,10,2,1,61,9.8,984,19:17,1.3,2.1,3.4,53,23,0,0,
13,Richard Panik,26,RW,37,6,10,16,3,26,3,3,0,0,10,0,0,70,8.6,529,14:18,0.8,0.7,1.5,22,73,1,2,33.3
14,Jordan Oesterle,25,D,49,5,9,14,-10,8,4,1,0,0,7,2,0,89,5.6,1019,20:48,0.7,1.5,2.2,86,54,0,0,
15,John Hayden,22,RW,46,4,9,13,-3,54,3,0,1,0,9,0,0,56,7.1,498,10:49,0.4,0.5,0.8,23,117,12,12,50
16,Gustav Forsling,21,D,41,3,10,13,-2,8,2,1,0,1,6,3,1,82,3.7,785,19:09,0.7,1.6,2.3,56,26,0,1,0
17,Tommy Wingels,29,RW,57,7,5,12,-10,43,4,1,2,1,5,0,0,67,10.4,647,11:21,0.1,0.4,0.5,36,150,185,218,45.9
18,David Kampf,23,C,39,4,7,11,-8,8,4,0,0,0,7,0,0,42,9.5,494,12:40,0.2,0.3,0.4,15,21,242,224,51.9
19,Erik Gustafsson,25,D,28,3,8,11,-2,6,3,0,0,0,5,3,0,60,5,507,18:06,0.8,1,1.8,33,24,0,1,0
20,Connor Murphy,24,D,69,1,10,11,-3,28,1,0,0,0,10,0,0,94,1.1,1119,16:13,-0.2,2.3,2.2,85,124,0,0,
21,Lance Bouma,27,LW,53,3,6,9,1,36,3,0,0,1,5,1,0,56,5.4,564,10:39,-0.4,0.7,0.3,27,132,14,19,42.4
22,Tomas Jurco,25,LW,24,4,4,8,2,12,4,0,0,0,4,0,0,36,11.1,298,12:26,0.4,0.4,0.8,7,18,3,8,27.3
23,Anthony Duclair,22,LW,23,2,6,8,0,6,2,0,0,1,6,0,0,29,6.9,300,13:02,0.2,0.3,0.5,10,20,1,1,50
24,Cody Franson,30,D,23,1,6,7,-1,8,1,0,0,0,2,4,0,51,2,382,16:37,0.3,0.8,1.1,18,18,0,0,
25,Michal Kempny,27,D,31,1,6,7,13,12,1,0,0,0,6,0,0,50,2,475,15:19,0.2,2.1,2.3,46,31,0,0,
26,Tanner Kero,25,RW,8,1,2,3,1,0,1,0,0,0,2,0,0,7,14.3,92,11:26,0.2,0.1,0.3,7,3,35,41,46.1
27,Carl Dahlstrom,23,D,11,0,3,3,-2,0,0,0,0,0,3,0,0,12,0,193,17:31,0.1,0.3,0.4,9,6,1,0,100
28,Matthew Highmore,21,LW,11,2,0,2,-5,0,2,0,0,0,0,0,0,25,8,129,11:45,0,0,0,7,6,1,4,20
29,Anton Forsberg,25,G,33,0,1,1,0,0,0,0,0,0,0,1,0,0,,1590,48:11:00,0,0,4,0,0,0,0,
30,Jean-Francois Berube,26,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,549,49:55:00,0,0,1.1,0,0,0,0,
31,Corey Crawford,33,G,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1584,56:33:00,0,0,6.2,0,0,0,0,
32,Jeff Glass,32,G,14,0,0,0,0,2,0,0,0,0,0,0,0,0,,761,54:21:00,0,0,1.7,0,0,0,0,
33,Andreas Martinsen,27,LW,2,0,0,0,0,9,0,0,0,0,0,0,0,4,0,22,10:54,-0.1,0,0,0,11,0,0,
,Team Total,,,75,210,359,569,-95,561,165,41,4,29,277,79,3,2585,8.1,,,31.3,30.7,74.9,1050,1278,2306,2328,49.8
