Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
2,Arizona Coyotes,1,1,0,0,0,2,1,4,1,4,1,1 games
3,Boston Bruins,2,0,2,0,0,0,0,2,6,1,3,2 games
4,Buffalo Sabres,3,1,1,0,1,3,0.5,6,7,2,2.33,3 games
5,Carolina Hurricanes,2,2,0,0,0,4,1,10,5,5,2.5,2 games
6,Columbus Blue Jackets,3,3,0,0,0,6,1,12,4,4,1.33,3 games
7,Calgary Flames,2,1,1,0,0,2,0.5,8,9,4,4.5,2 games
8,Chicago Blackhawks,2,2,0,0,0,4,1,5,2,2.5,1,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,11,7,5.5,3.5,2 games
10,Dallas Stars,2,2,0,0,0,4,1,11,5,5.5,2.5,2 games
11,Detroit Red Wings,4,4,0,0,0,8,1,15,7,3.75,1.75,4 games
12,Edmonton Oilers,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
13,Florida Panthers,4,3,1,0,0,6,0.75,22,17,5.5,4.25,4 games
14,Los Angeles Kings,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
15,Minnesota Wild,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
16,Montreal Canadiens,4,3,0,0,1,7,0.875,11,8,2.75,2,4 games
17,New Jersey Devils,2,0,1,0,1,1,0.25,7,9,3.5,4.5,2 games
18,Nashville Predators,1,1,0,0,0,2,1,4,3,4,3,1 games
19,New York Islanders,3,2,1,0,0,4,0.667,16,13,5.33,4.33,3 games
20,New York Rangers,2,1,0,0,1,3,0.75,6,5,3,2.5,2 games
21,Ottawa Senators,4,2,2,0,0,4,0.5,15,19,3.75,4.75,4 games
22,Philadelphia Flyers,3,2,1,0,0,4,0.667,15,12,5,4,3 games
23,Pittsburgh Penguins,3,2,1,0,0,4,0.667,14,10,4.67,3.33,3 games
24,San Jose Sharks,2,2,0,0,0,4,1,10,3,5,1.5,2 games
25,St. Louis Blues,2,2,0,0,0,4,1,5,1,2.5,0.5,2 games
26,Toronto Maple Leafs,4,3,1,0,0,6,0.75,13,10,3.25,2.5,4 games
27,Vancouver Canucks,2,2,0,0,0,4,1,9,4,4.5,2,2 games
28,Vegas Golden Knights,2,0,2,0,0,0,0,4,8,2,4,2 games
29,Winnipeg Jets,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
30,Washington Capitals,3,2,1,0,0,4,0.667,9,8,3,2.67,3 games
